Burmese	English	Gender
ဘိုၫြန္႔၊ ဗိုလ္ၫြန္႔	Bo Nyunt 	M
ဘိုစန္း၊ ဘိုဆန္း၊ ဗိုလ္စန္း၊ ဗိုလ္ဆန္း	Bo San 	M
ဘိုစိန္၊ ဗိုလ္စိန္	Bo Sein 	M
ဘိုေ႐ႊ၊ ဗိုလ္ေ႐ႊ	Bo Shwe 	M
ဘိုစိုး၊ ဗိုလ္စိုး	Bo Soe 	M
ဘိုသန္း၊ ဗိုလ္သန္း	Bo Than 	M
ဘိုေသာင္း၊ ဗိုလ္ေသာင္း	Bo Thaung 	M
ဘိုသိန္း၊ ဗိုလ္သိန္း	Bo Thein 	M
ဘိုသင္း၊ ဗိုလ္သင္း	Bo Thin 	M
ဘိုတင္	Bo Tin 	M
ဘိုထြန္း၊ ဗိုလ္ထြန္း	Bo Tun 	M
ဘိုဝ	Bo Wa 	M
ဘိုဝင္း၊ ဗိုလ္ဝင္း	Bo Win 	M
ဘိုရီ	Bo Yi 	M
ခ်မ္း	Chan 	M
ခ်မ္းေအး	Chan Aye 	M
ခ်မ္းခ်မ္း	Chan Chan 	F
ခ်မ္းေမာင္	Chan Maung 	M
ခ်မ္းျမ	Chan Mya 	M
ခ်မ္းေျမ့ၾကည္	Chan Myae Kyi 	F
ခ်မ္းစိန္	Chan Sein 	M
ခ်မ္းစိန္ဝင္း	Chan Sein Win 	M
ခ်မ္းသာ	Chan Thar 	M
ခ်မ္းထြန္း	Chan Tun 	M
ခ်မ္းထြန္းေအာင္	Chan Tun Aung 	M
ေခ်ာ	Chaw 	F
ေခ်ာေခ်ာ	Chaw Chaw 	F
